#2th	#Int
3.001	906.60000
3.002	875.18750
3.003	867.75000
3.004	856.87500
3.005	895.25000
3.006	871.62500
3.007	871.25000
3.008	898.04545
3.009	885.43750
3.010	875.75000
3.011	872.58333
3.012	871.25000
3.013	866.12500
3.014	879.25000
3.015	885.15385
3.016	868.00000
3.017	884.25000
3.018	877.91667
3.019	862.37500
3.020	873.50000
3.021	874.28571
3.022	872.30000
3.023	867.75000
3.024	854.33333
3.025	895.00000
3.026	866.37500
3.027	893.00000
3.028	870.59091
3.029	871.37500
3.030	873.75000
3.031	880.25000
3.032	878.25000
3.033	889.87500
3.034	866.42857
3.035	876.25000
3.036	866.00000
3.037	896.58333
3.038	880.62500
3.039	891.83333
3.040	825.50000
3.041	866.77778
3.042	884.05000
3.043	878.50000
3.044	888.25000
3.045	872.91667
3.046	899.00000
3.047	854.75000
3.048	865.63636
3.049	883.87500
3.050	880.62500
3.051	865.25000
3.052	864.87500
3.053	889.25000
3.054	865.35714
3.055	871.95000
3.056	877.41667
3.057	879.66667
3.058	872.08333
3.059	878.00000
3.060	881.00000
3.061	879.16667
3.062	879.00000
3.063	860.41667
3.064	887.00000
3.065	881.37500
3.066	876.87500
3.067	889.75000
3.068	873.26923
3.069	871.83333
3.070	873.91667
3.071	882.08333
3.072	881.08333
3.073	870.50000
3.074	877.21429
3.075	865.15000
3.076	870.75000
3.077	877.33333
3.078	904.41667
3.079	854.12500
3.080	863.00000
3.081	876.00000
3.082	874.18750
3.083	878.91667
3.084	883.08333
3.085	903.87500
3.086	860.87500
3.087	865.50000
3.088	896.88462
3.089	868.87500
3.090	867.75000
3.091	890.87500
3.092	885.08333
3.093	889.50000
3.094	874.57143
3.095	890.10000
3.096	878.12500
3.097	861.50000
3.098	877.75000
3.099	879.37500
3.100	901.50000
3.101	880.04545
3.102	881.40000
3.103	874.66667
3.104	851.00000
3.105	897.50000
3.106	890.75000
3.107	888.90000
3.108	875.79167
3.109	887.33333
3.110	867.50000
3.111	853.25000
3.112	875.91667
3.113	897.25000
3.114	888.22222
3.115	879.90000
3.116	862.33333
